"1_Auspraegung_Label","3_Auspraegung_Label","BEV027__Auslaender__Anzahl"
"Baden-Württemberg","Belgien","2520"
"Baden-Württemberg","Bosnien und Herzegowina","46175"
"Baden-Württemberg","Bulgarien","50275"
"Baden-Württemberg","Dänemark","1245"
"Baden-Württemberg","Estland","1020"
"Baden-Württemberg","Finnland","1680"
"Baden-Württemberg","Frankreich","29540"
"Baden-Württemberg","Griechenland","80440"
"Baden-Württemberg","Insgesamt","1885925"
"Baden-Württemberg","Irland","2145"
"Baden-Württemberg","Italien","181905"
"Baden-Württemberg","Kroatien","126110"
"Baden-Württemberg","Lettland","4380"
"Baden-Württemberg","Litauen","7770"
"Baden-Württemberg","Luxemburg","1470"
"Baden-Württemberg","Malta","85"
"Baden-Württemberg","Niederlande","7915"
"Baden-Württemberg","Norwegen","920"
"Baden-Württemberg","Österreich","26405"
"Baden-Württemberg","Polen","83870"
"Baden-Württemberg","Portugal","28805"
"Baden-Württemberg","Rumänien","171680"
"Baden-Württemberg","Schweden","2555"
"Baden-Württemberg","Schweiz","13510"
"Baden-Württemberg","Serbien","43680"
"Baden-Württemberg","Slowakei","9700"
"Baden-Württemberg","Slowenien","7490"
"Baden-Württemberg","Spanien","25980"
"Baden-Württemberg","Tschechien","6765"
"Baden-Württemberg","Ungarn","52200"
"Baden-Württemberg","Vereinigtes Königreich","7625"
"Baden-Württemberg","Zypern","335"
"Bayern","Belgien","2950"
"Bayern","Bosnien und Herzegowina","65010"
"Bayern","Bulgarien","63245"
"Bayern","Dänemark","2130"
"Bayern","Estland","1225"
"Bayern","Finnland","2540"
"Bayern","Frankreich","23100"
"Bayern","Griechenland","77170"
"Bayern","Insgesamt","2051505"
"Bayern","Irland","3445"
"Bayern","Italien","107540"
"Bayern","Kroatien","131155"
"Bayern","Lettland","5175"
"Bayern","Litauen","5835"
"Bayern","Luxemburg","1195"
"Bayern","Malta","170"
"Bayern","Niederlande","9855"
"Bayern","Norwegen","1105"
"Bayern","Österreich","85365"
"Bayern","Polen","117825"
"Bayern","Portugal","12980"
"Bayern","Rumänien","201380"
"Bayern","Schweden","3780"
"Bayern","Schweiz","7095"
"Bayern","Serbien","33800"
"Bayern","Slowakei","23630"
"Bayern","Slowenien","8905"
"Bayern","Spanien","25285"
"Bayern","Tschechien","26395"
"Bayern","Ungarn","76730"
"Bayern","Vereinigtes Königreich","13370"
"Bayern","Zypern","350"
"Berlin","Belgien","2540"
"Berlin","Bosnien und Herzegowina","12710"
"Berlin","Bulgarien","32095"
"Berlin","Dänemark","3475"
"Berlin","Estland","975"
"Berlin","Finnland","2490"
"Berlin","Frankreich","22600"
"Berlin","Griechenland","16495"
"Berlin","Insgesamt","848400"
"Berlin","Irland","4250"
"Berlin","Italien","34660"
"Berlin","Kroatien","15045"
"Berlin","Lettland","4060"
"Berlin","Litauen","3780"
"Berlin","Luxemburg","1020"
"Berlin","Malta","135"
"Berlin","Niederlande","7885"
"Berlin","Norwegen","530"
"Berlin","Österreich","14025"
"Berlin","Polen","66855"
"Berlin","Portugal","6980"
"Berlin","Rumänien","27155"
"Berlin","Schweden","4655"
"Berlin","Schweiz","3425"
"Berlin","Serbien","14210"
"Berlin","Slowakei","1740"
"Berlin","Slowenien","1790"
"Berlin","Spanien","17125"
"Berlin","Tschechien","2885"
"Berlin","Ungarn","7515"
"Berlin","Vereinigtes Königreich","19535"
"Berlin","Zypern","490"
"Brandenburg","Belgien","215"
"Brandenburg","Bosnien und Herzegowina","1160"
"Brandenburg","Bulgarien","3695"
"Brandenburg","Dänemark","180"
"Brandenburg","Estland","130"
"Brandenburg","Finnland","140"
"Brandenburg","Frankreich","1005"
"Brandenburg","Griechenland","1670"
"Brandenburg","Insgesamt","149540"
"Brandenburg","Irland","215"
"Brandenburg","Italien","2070"
"Brandenburg","Kroatien","1075"
"Brandenburg","Lettland","630"
"Brandenburg","Litauen","690"
"Brandenburg","Luxemburg","60"
"Brandenburg","Malta","10"
"Brandenburg","Niederlande","1145"
"Brandenburg","Norwegen","85"
"Brandenburg","Österreich","1405"
"Brandenburg","Polen","25510"
"Brandenburg","Portugal","490"
"Brandenburg","Rumänien","8090"
"Brandenburg","Schweden","205"
"Brandenburg","Schweiz","560"
"Brandenburg","Serbien","1595"
"Brandenburg","Slowakei","865"
"Brandenburg","Slowenien","145"
"Brandenburg","Spanien","1180"
"Brandenburg","Tschechien","785"
"Brandenburg","Ungarn","1960"
"Brandenburg","Vereinigtes Königreich","1045"
"Brandenburg","Zypern","20"
"Bremen","Belgien","200"
"Bremen","Bosnien und Herzegowina","1465"
"Bremen","Bulgarien","9325"
"Bremen","Dänemark","215"
"Bremen","Estland","65"
"Bremen","Finnland","180"
"Bremen","Frankreich","1035"
"Bremen","Griechenland","2075"
"Bremen","Insgesamt","140330"
"Bremen","Irland","115"
"Bremen","Italien","2470"
"Bremen","Kroatien","1590"
"Bremen","Lettland","650"
"Bremen","Litauen","750"
"Bremen","Luxemburg","45"
"Bremen","Malta","10"
"Bremen","Niederlande","1025"
"Bremen","Norwegen","105"
"Bremen","Österreich","815"
"Bremen","Polen","9460"
"Bremen","Portugal","2535"
"Bremen","Rumänien","4240"
"Bremen","Schweden","290"
"Bremen","Schweiz","265"
"Bremen","Serbien","3510"
"Bremen","Slowakei","155"
"Bremen","Slowenien","165"
"Bremen","Spanien","2080"
"Bremen","Tschechien","215"
"Bremen","Ungarn","915"
"Bremen","Vereinigtes Königreich","730"
"Bremen","Zypern","30"
"Hamburg","Belgien","570"
"Hamburg","Bosnien und Herzegowina","4130"
"Hamburg","Bulgarien","8835"
"Hamburg","Dänemark","1530"
"Hamburg","Estland","335"
"Hamburg","Finnland","795"
"Hamburg","Frankreich","4465"
"Hamburg","Griechenland","6105"
"Hamburg","Insgesamt","328375"
"Hamburg","Irland","465"
"Hamburg","Italien","7575"
"Hamburg","Kroatien","6695"
"Hamburg","Lettland","910"
"Hamburg","Litauen","1265"
"Hamburg","Luxemburg","180"
"Hamburg","Malta","20"
"Hamburg","Niederlande","2525"
"Hamburg","Norwegen","530"
"Hamburg","Österreich","3875"
"Hamburg","Polen","23310"
"Hamburg","Portugal","9070"
"Hamburg","Rumänien","10005"
"Hamburg","Schweden","1105"
"Hamburg","Schweiz","1350"
"Hamburg","Serbien","7410"
"Hamburg","Slowakei","540"
"Hamburg","Slowenien","270"
"Hamburg","Spanien","6035"
"Hamburg","Tschechien","645"
"Hamburg","Ungarn","1245"
"Hamburg","Vereinigtes Königreich","3495"
"Hamburg","Zypern","60"
"Hessen","Belgien","2635"
"Hessen","Bosnien und Herzegowina","24340"
"Hessen","Bulgarien","52575"
"Hessen","Dänemark","1105"
"Hessen","Estland","525"
"Hessen","Finnland","1590"
"Hessen","Frankreich","13285"
"Hessen","Griechenland","36525"
"Hessen","Insgesamt","1163800"
"Hessen","Irland","2230"
"Hessen","Italien","74440"
"Hessen","Kroatien","57075"
"Hessen","Lettland","3205"
"Hessen","Litauen","7990"
"Hessen","Luxemburg","640"
"Hessen","Malta","85"
"Hessen","Niederlande","8060"
"Hessen","Norwegen","675"
"Hessen","Österreich","13280"
"Hessen","Polen","80695"
"Hessen","Portugal","15275"
"Hessen","Rumänien","78280"
"Hessen","Schweden","2010"
"Hessen","Schweiz","3050"
"Hessen","Serbien","30965"
"Hessen","Slowakei","4060"
"Hessen","Slowenien","2235"
"Hessen","Spanien","28135"
"Hessen","Tschechien","4180"
"Hessen","Ungarn","13415"
"Hessen","Vereinigtes Königreich","7640"
"Hessen","Zypern","225"
"Mecklenburg-Vorpommern","Belgien","85"
"Mecklenburg-Vorpommern","Bosnien und Herzegowina","425"
"Mecklenburg-Vorpommern","Bulgarien","2460"
"Mecklenburg-Vorpommern","Dänemark","170"
"Mecklenburg-Vorpommern","Estland","115"
"Mecklenburg-Vorpommern","Finnland","140"
"Mecklenburg-Vorpommern","Frankreich","415"
"Mecklenburg-Vorpommern","Griechenland","1205"
"Mecklenburg-Vorpommern","Insgesamt","87410"
"Mecklenburg-Vorpommern","Irland","65"
"Mecklenburg-Vorpommern","Italien","1545"
"Mecklenburg-Vorpommern","Kroatien","810"
"Mecklenburg-Vorpommern","Lettland","640"
"Mecklenburg-Vorpommern","Litauen","1585"
"Mecklenburg-Vorpommern","Luxemburg","50"
"Mecklenburg-Vorpommern","Malta","5"
"Mecklenburg-Vorpommern","Niederlande","840"
"Mecklenburg-Vorpommern","Norwegen","75"
"Mecklenburg-Vorpommern","Österreich","700"
"Mecklenburg-Vorpommern","Polen","15720"
"Mecklenburg-Vorpommern","Portugal","280"
"Mecklenburg-Vorpommern","Rumänien","5090"
"Mecklenburg-Vorpommern","Schweden","225"
"Mecklenburg-Vorpommern","Schweiz","365"
"Mecklenburg-Vorpommern","Serbien","645"
"Mecklenburg-Vorpommern","Slowakei","475"
"Mecklenburg-Vorpommern","Slowenien","75"
"Mecklenburg-Vorpommern","Spanien","855"
"Mecklenburg-Vorpommern","Tschechien","430"
"Mecklenburg-Vorpommern","Ungarn","1365"
"Mecklenburg-Vorpommern","Vereinigtes Königreich","405"
"Mecklenburg-Vorpommern","Zypern","15"
"Niedersachsen","Belgien","1390"
"Niedersachsen","Bosnien und Herzegowina","8600"
"Niedersachsen","Bulgarien","33940"
"Niedersachsen","Dänemark","1455"
"Niedersachsen","Estland","520"
"Niedersachsen","Finnland","1030"
"Niedersachsen","Frankreich","4875"
"Niedersachsen","Griechenland","18920"
"Niedersachsen","Insgesamt","895490"
"Niedersachsen","Irland","865"
"Niedersachsen","Italien","29130"
"Niedersachsen","Kroatien","12095"
"Niedersachsen","Lettland","6000"
"Niedersachsen","Litauen","7820"
"Niedersachsen","Luxemburg","260"
"Niedersachsen","Malta","40"
"Niedersachsen","Niederlande","29745"
"Niedersachsen","Norwegen","560"
"Niedersachsen","Österreich","6795"
"Niedersachsen","Polen","100220"
"Niedersachsen","Portugal","8780"
"Niedersachsen","Rumänien","71540"
"Niedersachsen","Schweden","1780"
"Niedersachsen","Schweiz","2435"
"Niedersachsen","Serbien","19975"
"Niedersachsen","Slowakei","2850"
"Niedersachsen","Slowenien","905"
"Niedersachsen","Spanien","12420"
"Niedersachsen","Tschechien","2225"
"Niedersachsen","Ungarn","9410"
"Niedersachsen","Vereinigtes Königreich","5820"
"Niedersachsen","Zypern","115"
"Nordrhein-Westfalen","Belgien","12815"
"Nordrhein-Westfalen","Bosnien und Herzegowina","44120"
"Nordrhein-Westfalen","Bulgarien","96715"
"Nordrhein-Westfalen","Dänemark","2145"
"Nordrhein-Westfalen","Estland","1250"
"Nordrhein-Westfalen","Finnland","2290"
"Nordrhein-Westfalen","Frankreich","20575"
"Nordrhein-Westfalen","Griechenland","99425"
"Nordrhein-Westfalen","Insgesamt","2815800"
"Nordrhein-Westfalen","Irland","2920"
"Nordrhein-Westfalen","Italien","142165"
"Nordrhein-Westfalen","Kroatien","57405"
"Nordrhein-Westfalen","Lettland","9095"
"Nordrhein-Westfalen","Litauen","11650"
"Nordrhein-Westfalen","Luxemburg","2485"
"Nordrhein-Westfalen","Malta","175"
"Nordrhein-Westfalen","Niederlande","69315"
"Nordrhein-Westfalen","Norwegen","1230"
"Nordrhein-Westfalen","Österreich","21310"
"Nordrhein-Westfalen","Polen","220530"
"Nordrhein-Westfalen","Portugal","37685"
"Nordrhein-Westfalen","Rumänien","156480"
"Nordrhein-Westfalen","Schweden","3940"
"Nordrhein-Westfalen","Schweiz","5335"
"Nordrhein-Westfalen","Serbien","66590"
"Nordrhein-Westfalen","Slowakei","6600"
"Nordrhein-Westfalen","Slowenien","4340"
"Nordrhein-Westfalen","Spanien","53750"
"Nordrhein-Westfalen","Tschechien","5340"
"Nordrhein-Westfalen","Ungarn","21905"
"Nordrhein-Westfalen","Vereinigtes Königreich","17710"
"Nordrhein-Westfalen","Zypern","850"
"Rheinland-Pfalz","Belgien","2610"
"Rheinland-Pfalz","Bosnien und Herzegowina","7640"
"Rheinland-Pfalz","Bulgarien","26705"
"Rheinland-Pfalz","Dänemark","495"
"Rheinland-Pfalz","Estland","295"
"Rheinland-Pfalz","Finnland","485"
"Rheinland-Pfalz","Frankreich","8265"
"Rheinland-Pfalz","Griechenland","9715"
"Rheinland-Pfalz","Insgesamt","532230"
"Rheinland-Pfalz","Irland","770"
"Rheinland-Pfalz","Italien","31450"
"Rheinland-Pfalz","Kroatien","15720"
"Rheinland-Pfalz","Lettland","1890"
"Rheinland-Pfalz","Litauen","4140"
"Rheinland-Pfalz","Luxemburg","11125"
"Rheinland-Pfalz","Malta","55"
"Rheinland-Pfalz","Niederlande","6730"
"Rheinland-Pfalz","Norwegen","220"
"Rheinland-Pfalz","Österreich","5210"
"Rheinland-Pfalz","Polen","44360"
"Rheinland-Pfalz","Portugal","8725"
"Rheinland-Pfalz","Rumänien","46135"
"Rheinland-Pfalz","Schweden","700"
"Rheinland-Pfalz","Schweiz","1540"
"Rheinland-Pfalz","Serbien","7540"
"Rheinland-Pfalz","Slowakei","2105"
"Rheinland-Pfalz","Slowenien","865"
"Rheinland-Pfalz","Spanien","6600"
"Rheinland-Pfalz","Tschechien","1835"
"Rheinland-Pfalz","Ungarn","10180"
"Rheinland-Pfalz","Vereinigtes Königreich","2960"
"Rheinland-Pfalz","Zypern","100"
"Saarland","Belgien","430"
"Saarland","Bosnien und Herzegowina","1655"
"Saarland","Bulgarien","5590"
"Saarland","Dänemark","85"
"Saarland","Estland","55"
"Saarland","Finnland","85"
"Saarland","Frankreich","6790"
"Saarland","Griechenland","1515"
"Saarland","Insgesamt","134350"
"Saarland","Irland","120"
"Saarland","Italien","18235"
"Saarland","Kroatien","1470"
"Saarland","Lettland","215"
"Saarland","Litauen","395"
"Saarland","Luxemburg","5085"
"Saarland","Malta","5"
"Saarland","Niederlande","640"
"Saarland","Norwegen","55"
"Saarland","Österreich","1015"
"Saarland","Polen","5780"
"Saarland","Portugal","955"
"Saarland","Rumänien","9365"
"Saarland","Schweden","160"
"Saarland","Schweiz","315"
"Saarland","Serbien","1215"
"Saarland","Slowakei","660"
"Saarland","Slowenien","195"
"Saarland","Spanien","1140"
"Saarland","Tschechien","290"
"Saarland","Ungarn","2125"
"Saarland","Vereinigtes Königreich","610"
"Saarland","Zypern","45"
"Sachsen-Anhalt","Belgien","140"
"Sachsen-Anhalt","Bosnien und Herzegowina","1065"
"Sachsen-Anhalt","Bulgarien","4505"
"Sachsen-Anhalt","Dänemark","65"
"Sachsen-Anhalt","Estland","80"
"Sachsen-Anhalt","Finnland","100"
"Sachsen-Anhalt","Frankreich","425"
"Sachsen-Anhalt","Griechenland","1735"
"Sachsen-Anhalt","Insgesamt","127670"
"Sachsen-Anhalt","Irland","70"
"Sachsen-Anhalt","Italien","1395"
"Sachsen-Anhalt","Kroatien","1590"
"Sachsen-Anhalt","Lettland","325"
"Sachsen-Anhalt","Litauen","650"
"Sachsen-Anhalt","Luxemburg","35"
"Sachsen-Anhalt","Malta","5"
"Sachsen-Anhalt","Niederlande","795"
"Sachsen-Anhalt","Norwegen","35"
"Sachsen-Anhalt","Österreich","670"
"Sachsen-Anhalt","Polen","12225"
"Sachsen-Anhalt","Portugal","965"
"Sachsen-Anhalt","Rumänien","9940"
"Sachsen-Anhalt","Schweden","115"
"Sachsen-Anhalt","Schweiz","265"
"Sachsen-Anhalt","Serbien","1395"
"Sachsen-Anhalt","Slowakei","855"
"Sachsen-Anhalt","Slowenien","125"
"Sachsen-Anhalt","Spanien","625"
"Sachsen-Anhalt","Tschechien","855"
"Sachsen-Anhalt","Ungarn","2905"
"Sachsen-Anhalt","Vereinigtes Königreich","345"
"Sachsen-Anhalt","Zypern","30"
"Sachsen","Belgien","360"
"Sachsen","Bosnien und Herzegowina","980"
"Sachsen","Bulgarien","5420"
"Sachsen","Dänemark","170"
"Sachsen","Estland","230"
"Sachsen","Finnland","270"
"Sachsen","Frankreich","1830"
"Sachsen","Griechenland","3370"
"Sachsen","Insgesamt","244415"
"Sachsen","Irland","395"
"Sachsen","Italien","4200"
"Sachsen","Kroatien","1980"
"Sachsen","Lettland","995"
"Sachsen","Litauen","945"
"Sachsen","Luxemburg","85"
"Sachsen","Malta","25"
"Sachsen","Niederlande","1105"
"Sachsen","Norwegen","135"
"Sachsen","Österreich","1915"
"Sachsen","Polen","22040"
"Sachsen","Portugal","1650"
"Sachsen","Rumänien","13980"
"Sachsen","Schweden","250"
"Sachsen","Schweiz","795"
"Sachsen","Serbien","2155"
"Sachsen","Slowakei","4475"
"Sachsen","Slowenien","275"
"Sachsen","Spanien","2295"
"Sachsen","Tschechien","8155"
"Sachsen","Ungarn","5950"
"Sachsen","Vereinigtes Königreich","1530"
"Sachsen","Zypern","100"
"Schleswig-Holstein","Belgien","440"
"Schleswig-Holstein","Bosnien und Herzegowina","1990"
"Schleswig-Holstein","Bulgarien","10580"
"Schleswig-Holstein","Dänemark","7020"
"Schleswig-Holstein","Estland","320"
"Schleswig-Holstein","Finnland","905"
"Schleswig-Holstein","Frankreich","1780"
"Schleswig-Holstein","Griechenland","4955"
"Schleswig-Holstein","Insgesamt","286270"
"Schleswig-Holstein","Irland","365"
"Schleswig-Holstein","Italien","6070"
"Schleswig-Holstein","Kroatien","3730"
"Schleswig-Holstein","Lettland","1445"
"Schleswig-Holstein","Litauen","2150"
"Schleswig-Holstein","Luxemburg","90"
"Schleswig-Holstein","Malta","20"
"Schleswig-Holstein","Niederlande","2245"
"Schleswig-Holstein","Norwegen","520"
"Schleswig-Holstein","Österreich","3120"
"Schleswig-Holstein","Polen","29395"
"Schleswig-Holstein","Portugal","2985"
"Schleswig-Holstein","Rumänien","19120"
"Schleswig-Holstein","Schweden","1155"
"Schleswig-Holstein","Schweiz","1110"
"Schleswig-Holstein","Serbien","3245"
"Schleswig-Holstein","Slowakei","925"
"Schleswig-Holstein","Slowenien","275"
"Schleswig-Holstein","Spanien","3320"
"Schleswig-Holstein","Tschechien","565"
"Schleswig-Holstein","Ungarn","1915"
"Schleswig-Holstein","Vereinigtes Königreich","1695"
"Schleswig-Holstein","Zypern","55"
"Thüringen","Belgien","130"
"Thüringen","Bosnien und Herzegowina","595"
"Thüringen","Bulgarien","4930"
"Thüringen","Dänemark","60"
"Thüringen","Estland","65"
"Thüringen","Finnland","65"
"Thüringen","Frankreich","510"
"Thüringen","Griechenland","1230"
"Thüringen","Insgesamt","126270"
"Thüringen","Irland","95"
"Thüringen","Italien","1990"
"Thüringen","Kroatien","1075"
"Thüringen","Lettland","1130"
"Thüringen","Litauen","1040"
"Thüringen","Luxemburg","40"
"Thüringen","Malta","5"
"Thüringen","Niederlande","605"
"Thüringen","Norwegen","35"
"Thüringen","Österreich","785"
"Thüringen","Polen","13210"
"Thüringen","Portugal","570"
"Thüringen","Rumänien","12055"
"Thüringen","Schweden","95"
"Thüringen","Schweiz","275"
"Thüringen","Serbien","1705"
"Thüringen","Slowakei","2600"
"Thüringen","Slowenien","120"
"Thüringen","Spanien","1035"
"Thüringen","Tschechien","1715"
"Thüringen","Ungarn","2995"
"Thüringen","Vereinigtes Königreich","425"
"Thüringen","Zypern","10"